"Star_key","star_name","DISTANCE (LIGHTYEARS)","star temperature","Star Mass","radius (sun)","Luminosity","type of star"
67,"Astroflux",1054.36,4647,0.7,0.81,0.17,"K:2:V"
5168,"Misam",74.8,2811,0.1,0.35,0.06,"M:1:V"
1068,"Sham",7120,2582,0.2,0.26,0.05,"M:7:V"
6332,"Menkalinan",718.3,2929,0.1,0.24,0,"M:0:V"
5796,"Zubeneschamali",1847.75,3005,0.4,0.63,0.08,"M:1:V"
8611,"Nebulion",1268.38,2923,0.3,0.15,0.07,"M:2:V"
2804,"Tupi",672.47,4864,0.6,0.7,0.39,"K:2:V"
2172,"Fjellstone",490,2834,0.2,0.06,0.07,"M:5:V"
9643,"Amun-Ra Mirage",421.408,2535,0.2,0.34,0.04,"M:8:V"
9112,"Celestial Mirage",32.48,2520,0.2,0.12,0.06,"M:4:V"
3913,"Emiw",145.701,2600,0.2,0.35,0.05,"M:2:V"
1858,"Bunda",1446.97,2820,0.4,0.59,0.07,"M:2:V"
4217,"Bosona",48.8,3160,0.4,0.32,0.05,"M:0:V"
5091,"Quantum Radiance",894.5,5623,0.9,1.06,1.28,"G:2:V"
1212,"Alzirr",1462.04,5679,0.9,1.05,0.88,"G:2:V"
3887,"Caelus Cipher",7140,2669,0.2,0.15,0.03,"M:0:V"
1552,"Cosmosith",1239.46,4283,0.6,0.7,0.38,"K:5:V"
1676,"Irena",422.02,4032,0.5,0.81,0.48,"K:2:V"
2251,"Ephemeral Labyrinth",1373.83,3841,0.6,0.84,0.17,"K:4:V"
2641,"Kasai Ember",1522.77,2572,0.2,0.1,0.04,"M:1:V"
6551,"Sadalsuud",764.526,2772,0.1,0.59,0.04,"M:1:V"
5605,"Megrez",59.4,2405,0.2,0.54,0.06,"M:5:V"
9977,"Nahn",5690,2730,0.2,0.61,0,"M:6:V"
4628,"Funi",6.49,3153,0.3,0.37,0.02,"M:3:V"
8222,"Yed Posterior",286.6,4262,0.7,0.73,0.47,"K:3:V"
5691,"Alula Australis",161.61,3001,0.4,0.53,0.06,"M:3:V"
240,"Maasym",453.567,3980,0.6,0.73,0.45,"K:5:V"
3034,"Astromara",30.9,2621,0.1,0.41,0.01,"M:0:V"
5621,"Shinju",69.61,4213,0.7,0.86,0.19,"K:5:V"
5571,"Deneb Algedi",151,3715,0.7,0.9,0.42,"K:5:V"
3155,"Vorpal Abyss",468.771,2405,0.1,0.7,0.07,"M:5:V"
4435,"Alsciaukat",746.603,5768,1,1.14,1.08,"G:2:V"
7134,"Cosmic Gaze",1209.34,4279,0.7,0.9,0.33,"K:1:V"
9267,"Ephemeral Phoenix",4483.05,3647,0.4,0.11,0.05,"M:0:V"
5029,"Hatysa",1669.73,4274,0.6,0.77,0.26,"K:0:V"
1734,"Inquill",179.4,2822,0.4,0.49,0.02,"M:0:V"
678,"Stardrake",836.13,4007,0.5,0.87,0.24,"K:5:V"
9166,"Elnath",1405.28,3848,0.6,0.83,0.39,"K:5:V"
8776,"Adhara",162.36,2759,0.2,0.21,0.03,"M:2:V"
8585,"Tania Australis",834.794,4113,0.7,0.89,0.16,"K:6:V"
892,"Subra",1426.53,3728,0.8,0.89,0.21,"K:5:V"
4734,"Tarazed",545.29,2577,0.4,0.01,0.02,"M:6:V"
8158,"Cryptic Mirage",496.179,2582,0.3,0.62,0.05,"M:2:V"
9511,"Geisha's Mirage",1031.14,5391,1,1.07,0.62,"G:2:V"
5595,"Polaris Australis",1025.72,5234,0.9,0.98,1.01,"G:4:V"
5528,"Cryptic Nebula",6600,4077,0.6,0.91,0.35,"K:6:V"
9009,"Dingolay",64.53,2717,0.4,0.18,0.06,"M:2:V"
9023,"Astral Whisper",737.735,2888,0.3,0.01,0.06,"M:2:V"
1415,"Galactic Ember",161.743,3240,0.3,0.1,0.08,"M:3:V"
3838,"Aetherionyx",22.444,2603,0.4,0.16,0.06,"M:2:V"
4354,"Cosmosis",1509.084,3562,0.1,0.07,0.06,"M:0:V"
5321,"Sakura Seraph",3910,3906,0.8,0.9,0.54,"K:2:V"
9226,"Frostbeard",327.3,2847,0.2,0.45,0.03,"M:3:V"
4444,"Aniara",348.849,4497,0.5,0.87,0.37,"K:0:V"
9460,"Elysiumix",7380,2489,0.1,0.58,0.07,"M:1:V"
5130,"Algorab",55.55,2463,0.4,0.03,0.01,"M:2:V"
3339,"Cassionix",148.49,4022,0.6,0.8,0.5,"K:7:V"
1269,"Riftwarder",85.8,4573,0.5,0.7,0.4,"K:3:V"
2359,"Moldoveanu",1204.53,4118,0.6,0.85,0.4,"K:5:V"
4959,"Skjoldr",100.96,2912,0.1,0.56,0.03,"M:4:V"
8471,"Eonara",747.943,3005,0.2,0.39,0.05,"M:2:V"
6845,"Stellaria Crypt",153.59,5777,0.9,1.09,0.82,"G:2:V"
2649,"Formosa",290,2740,0.1,0.11,0.02,"M:0:V"
7924,"Uchū",371.823,2976,0.3,0.67,0.01,"M:5:V"
9545,"Koi's Whisper",156.66,4266,0.7,0.94,0.5,"K:5:V"
3560,"Palladium Shroud",611.845,4828,0.7,0.91,0.11,"K:0:V"
9739,"Ryusei Radiance",1402.72,3316,0.2,0.3,0.04,"M:0:V"
5190,"Kaus Borealis",290.646,4549,0.7,0.84,0.52,"K:2:V"
961,"Ketsueki Whispers",6470,2527,0.1,0.48,0.06,"M:8:V"
4379,"Sargas",833.194,2483,0.4,0.22,0.02,"M:7:V"
5690,"Celestial Echo",803.7,3275,0.4,0.2,0.02,"M:1:V"
302,"Astrum Cryptic",362.087,4470,0.5,0.88,0.23,"K:1:V"
2786,"Cassionara",351,2757,0.1,0.07,0.07,"M:4:V"
7230,"Nova Veil",49.8063,4208,0.8,0.81,0.41,"K:5:V"
8893,"Spectrion",1350.44,3900,0.6,0.84,0.51,"K:7:V"
3092,"Wyrmslayer",77.76,2470,0.1,0.34,0.06,"M:8:V"
3135,"Homam",702.35,3952,0.5,0.82,0.22,"K:6:V"
8973,"Alfirk",5760,2807,0.4,0.16,0.08,"M:2:V"
3223,"Alnitak",448.612,3796,0.6,0.94,0.14,"K:5:V"
7497,"Aetherial Mirage",423.348,2595,0.2,0.46,0.04,"M:3:V"
7691,"Mago",1059.76,4087,0.7,0.9,0.54,"K:2:V"
8591,"Starglow Haven",1021.97,3808,0.7,0.92,0.55,"K:2:V"
9685,"Tarf",23.2,3152,0.3,0.5,0.04,"M:0:V"
9344,"Athebyne",1001.1,5430,1,1.15,1.19,"G:5:V"
3839,"Revati",56.163,5294,1,0.98,1.22,"G:5:V"
5547,"Kaveh",960.246,2443,0.2,0.56,0.05,"M:5:V"
2374,"Sharjah",839.772,3368,0.2,0.69,0.03,"M:1:V"
276,"Setsuna",25.7,2704,0.4,0.14,0.02,"M:5:V"
4509,"Muspelheim",246.599,3090,0.3,0.36,0.02,"M:0:V"
4823,"Diadem",1097.33,2853,0.4,0.57,0.03,"M:5:V"
9476,"Franz",1478.63,5308,0.9,1.11,0.72,"G:2:V"
473,"Nenque",987.1,4768,0.7,0.94,0.59,"K:2:V"
520,"Menkib",34.8523,5239,1,1.15,0.64,"G:5:V"
6680,"Pulsariax",17.8,4149,0.5,0.71,0.09,"K:5:V"
1424,"Hanabi",269.21,4757,0.8,0.81,0.37,"K:2:V"
3522,"Dziban",463,2759,0.1,0.63,0.06,"M:2:V"
6786,"Rana",119.3,2745,0.4,0.24,0.02,"M:2:V"
7838,"Gacrux",1027.64,3243,0.4,0.42,0.02,"M:2:V"
5643,"Hannya's Silence",74.5,3012,0.4,0.46,0.07,"M:2:V"
3182,"Aldulfin",604.83,4135,0.7,0.76,0.14,"K:6:V"
8964,"Kamuy",50.55,3929,0.6,0.95,0.14,"K:6:V"
5429,"Eagleeye",98.0152,3265,0.3,0.06,0.04,"M:0:V"
7760,"Acrab",1008.27,5406,0.9,1.13,1.02,"G:5:V"
3509,"Brimwarden",156.7,2817,0.2,0.26,0.01,"M:0:V"
2991,"Sumi Cascade",799.699,2569,0.3,0.01,0.07,"M:5:V"
2475,"Kraz",1062.4,2489,0.2,0.32,0.05,"M:5:V"
7265,"Gakyid",1557.39,3068,0.1,0.07,0.08,"M:2:V"
9722,"Tojil",383.846,2960,0.2,0.2,0.01,"M:4:V"
7700,"Quantum Quasar",651.31,5572,0.8,0.96,0.83,"G:2:V"
7268,"Skaldspark",1193.32,2485,0.4,0.59,0.01,"M:3:V"
9746,"Nefertiti's Beacon",1011.33,5332,0.8,1.04,0.6,"G:5:V"
5826,"Terebellum",403.323,4021,0.5,0.95,0.15,"K:5:V"
136,"Markab",1305.99,4082,0.7,0.75,0.44,"K:2:V"
1336,"Stormweaver",328.828,5579,0.9,1.13,0.79,"G:4:V"
6547,"Mizar",42.4061,3006,0.4,0.05,0.05,"M:4:V"
8986,"Násti",335.616,3943,0.6,0.92,0.26,"K:2:V"
2433,"Comet Shroud",496,4349,0.8,0.85,0.18,"K:4:V"
4386,"Torii Shadows",1201.9,3772,0.6,0.75,0.08,"K:7:V"
6854,"Tsubasa Echoes",622.67,3121,0.2,0.54,0.03,"M:2:V"
2212,"Solaris Cascade",140.4,3950,0.6,0.8,0.33,"K:3:V"
7449,"Sora",374.615,3233,0.4,0.34,0.07,"M:3:V"
9485,"Nebula Nexus",396.2,4399,0.5,0.89,0.17,"K:0:V"
9740,"Asellus Australis",747,2673,0.1,0.07,0.08,"M:3:V"
3554,"Gomeisa",1062.81,2876,0.3,0.08,0.01,"M:4:V"
4612,"Ebon Labyrinth",6.97,2981,0.3,0.28,0,"M:1:V"
8700,"Ryusei",875.31,2465,0.2,0.05,0.05,"M:3:V"
7196,"Bubup",963.67,5388,0.8,1.14,1.02,"G:2:V"
4620,"Samurai's Veil",3000,3537,0.4,0.08,0.03,"M:0:V"
7318,"Sadalbari",358.41,3780,0.6,0.79,0.29,"K:4:V"
5716,"Nebulonara",7680,2573,0.4,0.7,0,"M:5:V"
6364,"Symbionix",1800,2626,0.4,0.36,0.02,"M:6:V"
3493,"Rōka",345.638,4404,0.8,0.9,0.3,"K:2:V"
7060,"Zavijava",1953.89,3787,0.7,0.95,0.54,"K:2:V"
4576,"Orionara",743.716,2965,0.3,0.08,0.06,"M:1:V"
8898,"Miaplacidus",20.5121,3248,0.2,0.04,0.08,"M:2:V"
677,"Etherion",865.2,3305,0.2,0.11,0.05,"M:1:V"
778,"Libertas",980,2688,0.1,0.45,0.04,"M:1:V"
8021,"Keid",35.87,2580,0.1,0.03,0.04,"M:2:V"
671,"Hayabusa Nexus",840.27,2401,0.1,0.01,0.03,"M:5:V"
7778,"Ukdah",75.3,2670,0.2,0.27,0,"M:0:V"
9907,"Hikari Nebula",743.273,4832,0.5,0.89,0.14,"K:0:V"
5592,"Alnilam",850.847,2489,0.3,0.47,0.05,"M:5:V"
7598,"Almach",1366.95,2408,0.2,0.07,0.06,"M:1:V"
7580,"Caph",1230.24,4140,0.8,0.85,0.4,"K:6:V"
913,"Igniflux",26.49,2893,0.4,0.39,0.07,"M:3:V"
5344,"Aquilan Anomaly",1220.7,2804,0.4,0.24,0.05,"M:3:V"
545,"Radiantara",360.14,3092,0.1,0.62,0.06,"M:2:V"
2341,"Ignitionara",12.995,2829,0.3,0.09,0.01,"M:4:V"
7158,"Menkar",155,2436,0.3,0.33,0.05,"M:3:V"
6975,"Wolfheart",420,2665,0.1,0.49,0.04,"M:2:V"
3018,"Gloas",309.329,2938,0.2,0.6,0.02,"M:1:V"
4333,"Pharaoh's Silence",46.73,3037,0.1,0.2,0,"M:3:V"
8395,"Castor",285.461,5429,0.9,1.1,1.29,"G:2:V"
5599,"Lunacara",38.6846,5548,0.8,0.99,1.06,"G:4:V"
3024,"Pherkad",403.73,2425,0.4,0.43,0.08,"M:8:V"
2756,"Ashlesha",59.35,2558,0.2,0.42,0.06,"M:3:V"
5002,"Malmok",1692.05,2765,0.4,0.48,0.01,"M:3:V"
3201,"Komorebi Cascade",186.6,2725,0.2,0.47,0.04,"M:1:V"
9352,"Asahi Horizon",843,3216,0.3,0.1,0.05,"M:2:V"
1277,"Nebulithium",627.86,2749,0.2,0.58,0.06,"M:6:V"
5295,"Celestial Serenity",120.2,3867,0.7,0.84,0.15,"K:7:V"
5625,"Spectral Serenity",288.94,2415,0.4,0.64,0.03,"M:8:V"
5144,"Spectral Threshold",425.116,2841,0.2,0.33,0.05,"M:2:V"
7149,"Ra's Whisper",864,2751,0.2,0.64,0.07,"M:3:V"
4295,"Sakura's Silence",48,5251,0.9,0.99,1.45,"G:3:V"
4904,"Eaglecrest",130.855,3769,0.7,0.71,0.36,"K:3:V"
8333,"Cosmosol",1667,3102,0.3,0.08,0.07,"M:1:V"
3435,"Betelgeuse",1579.28,2719,0.4,0.56,0.05,"M:3:V"
2091,"Kawa Enigma",79.5561,2842,0.4,0.6,0.06,"M:5:V"
6475,"Rosaliadecastro",33.022,3085,0.2,0.65,0.06,"M:3:V"
4755,"Solaraflux",280.5,2422,0.1,0.44,0.01,"M:4:V"
6221,"Xihe",1238.24,3885,0.5,0.73,0.49,"K:7:V"
9742,"Hannya's Expanse",698.1,2656,0.3,0.35,0.04,"M:1:V"
5375,"Meleph",1351.17,2523,0.4,0.54,0.05,"M:5:V"
9192,"Lyra",65.7,2550,0.2,0.33,0.07,"M:3:V"
5863,"Kaus Australis",48.249,2621,0.3,0.41,0.05,"M:5:V"
1600,"Zibal",695.58,3758,0.7,0.78,0.24,"K:7:V"
3056,"Skat",7010,3897,0.5,0.76,0.16,"K:5:V"
9186,"Bélénos",804.246,4091,0.6,0.88,0.14,"K:6:V"
310,"Ninja's Radiance",233.4,2664,0.2,0.39,0.05,"M:5:V"
9337,"Vindemiatrix",1422.08,2479,0.3,0.55,0.04,"M:8:V"
4518,"Tonatiuh",473.687,3844,0.6,0.72,0.15,"K:2:V"
9948,"Luminous Wraith",800.769,2456,0.1,0.03,0.02,"M:5:V"
4677,"Galaxaraith",40.7,2451,0.4,0.28,0.05,"M:8:V"
