"planet_key","PLANET","Star_key","Mass","Relative Density","RELATIVE RADIUS","terrain type","Type Of Climate"
235,"Altair Omicron",6570,3.41,1.168,1.43,"scrubland; ice cave; field; grassy hill","temperate; artic; frigid; windy; superheated; frozen; arid"
236,"Pulsar Serenity Wu",3539,6.85,0.936,1.94,"valley; bog; cityscape; ice canyon; acid pool; river","artificial temperate; artic; arid; humid"
237,"Pulsar Serenity Qi",3539,4.65,0.881,1.74,"ice canyon","arid; subartic; frozen; frigid; hot"
238,"Pulsar Serenity Jiu",3539,7.64,1.371,1.77,"canyons; island","subartic; rocky; frozen; tropical; windy; hot"
239,"Anadolu Cerberian",1154,1.05,0.777,1.11,"island; canyons","arid; temperate; rocky"
240,"Anadolu Asclepian",1154,1.19,0.758,1.16,"ice canyon; rocky canyon; vine; desert; lakes; cliff; urban","hot; tropical; frozen; superheated; frigid; arid"
241,"Anadolu Aetherios",1154,NA,1.238,1.43,"desert","frigid; artificial temperate; frozen; rocky"
242,"Anadolu Pegasusian",1154,1.21,0.883,1.11,"forest","frozen; artificial temperate; artic"
243,"Chaophraya Quartal",558,2.11,0.764,1.4,"mountain; desert","hot; tropical; temperate; superheated"
244,"Algorab Duodecimal",5130,0.94,1.315,0.89,"sea; desert; lakes; vine; cliff","frigid; frozen; subartic; rocky"
245,"Algorab Septimal",5130,1.58,0.792,1.26,"jungle; jungle","frozen; windy; hot; rocky; artic"
246,"Zaurak Wu",6685,4.09,1.362,1.44,"canyons","rocky; frozen; tropical; windy; temperate"
247,"Zaurak Er",6685,0.54,0.69,0.92,"field","temperate"
248,"Zaurak Shi",6685,7.26,0.795,2.09,"vine","artificial temperate; temperate; humid; rocky; subartic; frozen; tropical"
249,"Ain Sextant",9479,2.65,0.942,1.41,"ash; rock arche","hot; temperate; arid"
250,"Ain Prime",9479,3.42,1.201,1.42,"sinkholes","arid; frigid; superheated"
251,"Ain Tertial",9479,2.04,1.636,1.08,"cityscape","subartic; tropical; windy"
252,"Ebon Labyrinth Jiu",4612,3.25,0.624,1.73,"urban; ice canyon; plain; city; barren; river","arid; frigid; temperate; hot"
253,"Ebon Labyrinth Ba",4612,3.09,0.963,1.48,"cliff; field; fungus forest; rainforest; river; forest; cave","hot; frigid; subartic; humid; artic; frozen"
254,"Ebon Labyrinth Qi",4612,1.88,1.288,1.13,"jungle; cave; river; urban; cliff","temperate; hot; superheated; artic"
255,"Ebon Labyrinth Si",4612,1.97,0.717,1.4,"swamp; rainforest; tundra; ice canyon; cliff; valley","rocky; frozen; subartic; tropical"
256,"Pulsar Seraph Xi",3163,9.37,0.995,2.11,"hill; sea; city","tropical; superheated; artificial temperate"
257,"Quantum Mirage II",9649,9.25,1.082,2.04,"river; island","humid; temperate; frozen"
258,"Quantum Mirage XXIII",9649,0.93,1.119,0.94,"fungus forest; volcano; lava river","hot; subartic; windy; frigid; frozen; tropical"
259,"Ronin's Enigma VI",4849,6.41,0.971,1.88,"toxic cloudsea; hill","artic"
260,"Ravenfury Centaurios",9782,0.73,0.738,1,"ice cave; desert","artic; windy; rocky; frozen"
261,"Ravenfury Faunios",9782,4.49,0.777,1.79,"glacier; lakes; cliff; rainforest","subartic; humid; rocky; superheated"
262,"Sharjah Gaios",2374,0.77,0.959,0.93,"plain; rocky desert","frozen"
263,"Kūkan Cascade Hermesios",5829,1.27,1.291,0.99,"valley","artificial temperate; rocky"
264,"Kūkan Cascade Hestian",5829,2.29,0.665,1.51,"rocky desert; rainforest; plateau; valley; cave","frozen; arid; superheated; subartic"
265,"Kūkan Cascade Echoian",5829,5.44,0.99,1.76,"glacier","artic; temperate; artificial temperate; frozen"
266,"Kūkan Cascade Asclepian",5829,5.28,1.122,1.68,"reef","tropical; frigid; rocky; hot"
267,"Astrobane XV",1811,7.1,0.769,2.1,"plateau; sea; ice cave; volcano","hot; tropical; subartic; windy"
268,"Astrobane XIX",1811,1.82,0.912,1.26,"ash; verdant","rocky; superheated"
269,"Astrobane XVI",1811,4.09,1.198,1.51,"ocean; fungus forest; reef","humid; arid"
270,"Solaraflux Poseidian",4755,8.87,1.327,NA,"plain","artificial temperate; arid; windy"
271,"Solaraflux Psychean",4755,4.6,0.848,1.76,"fungus forest; cliff; toxic cloudsea; mountain; hill; rocky island","artificial temperate; temperate; artic; frigid; humid; subartic"
272,"Solaraflux Herculean",4755,3.22,1.144,NA,"urban; ice canyon","windy; subartic"
273,"Kamuy Lambda",8964,1.44,1.041,NA,"plain; urban","frozen; frigid"
274,"Kamuy Delta",8964,3.99,0.955,1.61,"city","artic; rocky"
275,"Kamuy Rho",8964,8.53,1.117,1.97,"plain; lava river; ocean; island; sinkholes; ice canyon; rock arche; sea; valley; river; glacier","artic; artificial temperate; superheated; tropical; temperate; arid; rocky"
276,"Stellarnova Er",463,3.06,1.14,1.39,"","windy"
277,"Stellarnova Shi",463,1.62,0.881,1.23,"glacier; cave; hill; city; grassland; cityscape; vine","artificial temperate; hot; subartic; rocky; temperate; windy"
278,"Stellarnova Yi",463,1.48,1.363,1.03,"ocean","temperate; subartic; artificial temperate; windy"
279,"Stellarnova San",463,NA,0.574,NA,"plain; river; cave; rock arche; glacier; city","superheated; rocky; artic; frozen"
280,"Aetherion Asclepian",7204,1.05,1.551,0.88,"plateau; rainforest; grassy hill; acid pool; ice canyon; tundra; scrubland","hot; arid; superheated; temperate; frozen; subartic; tropical"
281,"Sulafat Prime",7944,2.18,1.045,1.28,"mountain; city","artificial temperate"
282,"Funi Liu",4628,4.49,1.307,1.51,"plateau; island; cave","artic; rocky; subartic; windy; artificial temperate; frigid"
283,"Funi San",4628,7.39,0.85,2.06,"sinkholes","tropical; temperate; humid; superheated; frozen; windy; artificial temperate"
284,"Symbionix Phi",6364,7.03,1.039,1.89,"jungle; island; canyons; plateau; forest","frigid; tropical; artificial temperate; artic; windy; arid"
285,"Symbionix Xi",6364,3.45,1.079,1.47,"city; island; ice cave; canyons; savanna; urban; rock arche","frozen; artic; rocky; frigid; subartic; superheated"
286,"Symbionix Beta",6364,6.82,0.727,2.11,"cliff; bog; jungle","artic; hot"
287,"Symbionix Iota",6364,3.15,1.244,1.36,"cave; sea; ice cave","tropical; frozen; windy; arid"
288,"Aquilan Anomaly XIX",5344,7.8,0.727,2.21,"lakes","temperate; rocky; tropical; frozen"
289,"Aquilan Anomaly XIV",5344,1.52,1,1.15,"rock arche","frozen"
290,"Aquilan Anomaly II",5344,2.54,0.941,1.39,"lava river; ocean","rocky; windy; hot; temperate; frigid; tropical"
291,"Astrolithium Hermian",5620,NA,1.216,1.89,"verdant; urban; sea; rainforest; grassland","humid; superheated; subartic; tropical"
292,"Antares XV",6165,5.94,1.153,1.73,"jungle; sea; island","hot; subartic; superheated; rocky"
293,"Antares XXII",6165,3.66,1.038,1.52,"glacier","frigid; frozen; superheated"
294,"Darkonium Gaian",7955,1.03,0.414,1.35,"tundra; river","tropical; rocky; frozen; humid; frigid"
295,"Darkonium Centaurios",7955,6.29,0.885,1.92,"plateau; field; ocean; ash; reef","rocky; superheated; tropical; arid; artic; windy"
296,"Darkonium Zephyrian",7955,5.18,0.899,1.79,"valley","humid; artificial temperate; frigid"
297,"Kawa Enigma Ba",2091,1.93,1.256,1.15,"reef","windy; subartic; hot"
298,"Kawa Enigma San",2091,1.43,1.256,1.04,"rocky island; rocky desert","artificial temperate; superheated; temperate; humid; arid; windy"
299,"Formosa Persephonian",2649,1.05,0.856,1.07,"hill; reef; vine; swamp; cave","rocky; subartic; artificial temperate; windy; arid; tropical; artic"
300,"Cosmic Cascade San",2608,NA,0.723,1.16,"rock arche; lakes","rocky; superheated; artic; arid; frozen"
301,"Cosmic Cascade Liu",2608,0.86,0.922,0.98,"plateau; jungle; bog","tropical; artificial temperate; subartic; artic; temperate"
302,"Cosmic Cascade Er",2608,1.81,1.261,1.13,"glacier; ice canyon; sea; city; vine","artificial temperate; frozen; frigid"
303,"Cosmic Cascade Qi",2608,9.26,0.734,2.33,"plateau; plain; sinkholes","artificial temperate; hot"
304,"Castula Prime",4831,7.47,0.791,2.11,"jungle; tundra; rainforest; ocean","humid; temperate; artificial temperate; tropical; subartic"
305,"Emiw Hadean",3913,NA,0.892,1.16,"plain","artic; temperate; humid; superheated; tropical"
306,"Emiw Pegasusian",3913,5.22,0.73,1.93,"vine; valley; canyons; glacier; ice canyon; verdant; ice cave; lakes; cave","artificial temperate; subartic; hot; frozen; artic; tropical"
307,"Emiw Orphean",3913,1.8,1.428,1.08,"plateau","artificial temperate; windy; frigid; superheated; hot"
308,"Galaxix Demetrian",2020,6.98,0.833,2.03,"rock arche; verdant; urban","artic; tropical"
309,"Cosmosith Poseidian",1552,3.98,0.841,1.68,"ice canyon; forest; urban; cave","tropical; frozen; subartic"
310,"Toliman Nonal",4474,NA,0.704,1.64,"verdant; rocky island; plateau","subartic; temperate"
311,"Toliman Quintal",4474,7.64,1.361,1.78,"river","tropical; artificial temperate; frozen"
312,"Toliman Septimal",4474,3.14,0.825,1.56,"island; lava river; river; cave; savanna; ash","superheated; rocky; tropical; humid"
313,"Toliman Sextant",4474,0.6,0.777,0.92,"verdant; ocean","frigid"
314,"Fawaris Zeta",6546,8.19,0.542,2.47,"desert; ocean","superheated; subartic; artificial temperate; humid"
315,"Fawaris Upsilon",6546,2.24,0.926,1.34,"island; cityscape; savanna; ocean","frigid; tropical; arid"
316,"Frostfang VII",6667,4.88,1.081,1.65,"island; cityscape; jungle","arid; windy; tropical"
317,"Frostfang XVII",6667,2.6,0.952,1.4,"city; rock arche; field; glacier; plain; grassy hill","frigid; rocky; frozen; artificial temperate; windy"
318,"Frostfang I",6667,1.22,1.184,1.01,"ash","superheated"
319,"Gacrux Decimal",7838,7.2,1.627,1.64,"hill; urban; cave","artificial temperate; humid; windy; frigid; subartic"
320,"Spectral Serenity Morphean",5625,5.47,1.104,1.7,"rocky canyon; desert","frigid; artic; hot; artificial temperate"
321,"Berserkr Quintal",8808,2.03,1.34,1.15,"grassy hill; rock arche; savanna; ocean; city; grassland; vine","hot; humid; artificial temperate; superheated; frigid; rocky"
322,"Berserkr Prime",8808,2.17,1.41,1.15,"tundra","hot; rocky; artic"
323,"Lionrock XII",8784,5.96,1.442,1.6,"sea; rock arche; ocean; rainforest; rocky canyon; city","arid; artificial temperate; tropical; artic"
324,"Zenithrax Qi",3048,6.2,0.655,2.12,"ice canyon; cave; glacier; mountain; ash","subartic; superheated; frozen"
325,"Zenithrax Jiu",3048,7.46,1.035,1.93,"plateau; jungle; rainforest","frozen; superheated; hot; subartic"
326,"Zenithrax Shi",3048,2.92,0.983,1.44,"toxic cloudsea; canyons; volcano; mountain; rocky island; cityscape","artificial temperate; superheated; frozen; humid"
327,"Almach Jiu",7598,5.68,1.35,1.61,"hill; lakes; volcano; tundra; urban; acid pool","frigid; artic; arid; rocky"
328,"Almach Si",7598,5.31,0.464,NA,"river","windy; frozen; subartic"
329,"Solarionis Shi",6492,0.36,0.796,0.77,"mountain; valley; ocean; jungle; volcano; river; cityscape","tropical; arid; artic; frigid; subartic"
330,"Solarionis Si",6492,2.65,0.998,1.38,"mountain; ocean; grassy hill; hill; urban; acid pool","hot; superheated; tropical; temperate; rocky; humid"
331,"Solarionis Er",6492,7.51,0.953,1.99,"cave; plateau","artificial temperate; arid"
332,"Rimeblade Psi",9327,2.78,0.784,1.52,"field; grassy hill","frozen; rocky; windy; artic; artificial temperate"
333,"Rimeblade Sigma",9327,1.24,1.455,0.95,"scrubland; rock arche; ice canyon; lava river; mountain; island; swamp; plain","subartic; arid; artificial temperate; hot; humid"
334,"Asellus Australis Jiu",9740,6.1,0.894,1.9,"ice canyon; bog","rocky; subartic; temperate; artic"
335,"Asellus Australis Qi",9740,1.96,0.685,1.42,"bog; grassy hill; savanna; glacier","frigid; hot; windy; frozen; subartic; tropical; artificial temperate"
336,"Asellus Australis Er",9740,1.72,1.234,1.12,"ice canyon; jungle; fungus forest","tropical; frigid"
337,"Kasumi Whisper Echoian",4320,6.91,0.901,NA,"cityscape; sea","arid; tropical"
338,"Kasumi Whisper Typhonian",4320,5.63,1.175,1.69,"vine; grassland; volcano; scrubland; jungle; savanna","temperate; artificial temperate; humid; subartic; arid; frozen; rocky"
339,"Kasumi Whisper Apollox",4320,0.42,1.204,0.7,"reef; urban","humid"
340,"Kasumi Whisper Hadean",4320,1.56,0.649,NA,"acid pool; cliff; grassy hill; valley","tropical; subartic; humid; frigid; artificial temperate; artic"
341,"Cosmic Shadows Decimal",2408,NA,0.843,2.05,"urban","artificial temperate; arid; artic; superheated; windy"
342,"Flegetonte Titanos",9777,3.67,0.766,1.69,"rocky canyon; rocky desert; cityscape; rainforest; rock arche; bog; acid pool","artic; artificial temperate; rocky; superheated; subartic; tropical"
343,"Brimwarden Gaian",3509,1.84,1.188,1.16,"plateau; verdant; ice cave; volcano; lakes","superheated; humid; subartic; windy; frozen; hot"
344,"Brimwarden Faunios",3509,3.8,1.103,1.51,"desert; rocky desert; scrubland; urban","artic; subartic; frozen; arid"
345,"Brimwarden Nereidos",3509,7.87,0.999,1.99,"reef","frigid"
346,"Brimwarden Artemian",3509,3.91,0.791,1.7,"rocky island; field; plain","artificial temperate; subartic"
347,"Atik Qi",1251,NA,1.181,1.23,"rock arche","temperate; rocky; frigid; subartic"
348,"Hassaleh Xi",1045,2.84,0.533,1.75,"ice canyon; jungle; grassland; rainforest","artic; tropical; humid; arid"
349,"Ebon Cosmos Nu",6048,4.58,0.698,1.87,"toxic cloudsea; savanna; ice canyon; cave","subartic; artic; rocky"
350,"Ebon Cosmos Chi",6048,0.6,1.166,0.8,"island; reef; field","superheated; temperate; subartic; artic"
351,"Ebon Cosmos Epsilon",6048,0.73,1.297,0.83,"island; ice canyon; rock arche","subartic; frigid; artic"
352,"Ebon Cosmos Pi",6048,5.37,1.23,1.63,"river; verdant","arid; subartic; superheated"
353,"Kaus Media Titanos",1211,0.43,0.959,0.77,"sinkholes","temperate; superheated"
354,"Aurum Obscura Gaian",5807,4.32,0.923,1.67,"river; rocky island; hill; mountain","humid; frigid; superheated; subartic; rocky"
355,"Aurum Obscura Tritonian",5807,1.6,1.066,1.15,"canyons; vine; island","frigid; temperate"
356,"Aurum Obscura Harpian",5807,1.38,0.766,1.22,"island; glacier; rock arche","subartic; rocky; temperate; humid"
357,"Nova Veil Delta",7230,8.45,0.886,2.12,"lakes","artificial temperate"
358,"Algieba Athenian",2719,4.73,1.25,1.56,"jungle; plain; fungus forest","tropical; subartic; hot"
359,"Arkab Posterior VI",4242,1.06,1.196,0.96,"lakes; tundra; cliff; acid pool; cityscape","superheated; rocky; humid"
360,"Arkab Posterior VII",4242,0.89,0.792,1.04,"canyons; vine; jungle; acid pool; cliff; plateau","rocky; temperate; subartic; superheated"
361,"Bosona Nu",4217,5.06,1.213,1.61,"tundra; grassy hill; field; sinkholes; valley; cave; ocean","temperate; arid; subartic; humid; hot"
362,"Bosona Tau",4217,0.62,0.896,0.88,"plateau; ash; fungus forest","subartic; hot"
363,"Bosona Sigma",4217,5.21,0.544,2.12,"valley; cave; desert; plateau; plain","arid; superheated; artic"
364,"Bosona Theta",4217,1.07,0.753,1.12,"glacier; jungle","hot; artificial temperate; artic; frozen; superheated"
365,"Vortexion V",8069,2.67,0.814,1.49,"lakes; savanna; cityscape; ocean; rock arche","subartic; windy; humid; tropical"
366,"Vortexion III",8069,2.78,1.118,1.35,"mountain; sea; ice canyon","hot; frigid; frozen; windy; humid; artic"
367,"Vortexion XXIV",8069,7.38,0.762,2.13,"forest; field; acid pool","artic; humid; tropical; artificial temperate; frigid"
368,"Vortexion XIII",8069,2.72,1.347,1.26,"river","windy; humid; hot; arid; subartic"
369,"Alula Australis XVII",5691,2.58,1.106,1.33,"sea","artificial temperate; subartic; superheated; artic; frozen"
370,"Kornephoros Eosian",5504,5.2,0.921,1.78,"tundra; bog; rainforest","temperate; humid; artic; superheated"
371,"Mjoltr Atlasios",1356,7.23,0.949,1.97,"ocean","frozen; subartic; windy; tropical"
372,"Sadalmelik Chimeraean",1031,4.47,1.143,1.58,"sea; desert; urban; savanna; rocky canyon; valley","frigid; windy; superheated; subartic; tropical; frozen"
373,"Arneb Nu",6213,2.02,1.407,1.13,"rocky canyon; island; urban","artic; temperate; windy; subartic; frozen; tropical; arid"
374,"Suhail Octal",4697,4.27,1.017,1.61,"ocean","artificial temperate"
375,"Ebon Crypt XV",7937,2.43,1.177,1.27,"valley; ocean; sea","windy; tropical; artificial temperate; rocky"
376,"Ebon Crypt XXII",7937,2.19,1.242,1.21,"mountain; plateau; rocky desert","windy; frozen; subartic"
377,"Ebon Crypt XX",7937,8.36,1.087,1.97,"","windy"
378,"Alderamin XIX",4868,8.48,1.068,1.99,"glacier; ocean","frigid"
379,"Alderamin XII",4868,2.19,0.811,1.39,"mountain; hill; toxic cloudsea","artic; frozen"
380,"Quantum Radiance XXII",5091,2.14,1.084,NA,"rock arche; urban; savanna","windy; subartic; rocky"
381,"Quantum Radiance II",5091,0.92,1.284,0.89,"valley; canyons; reef; ocean; rocky canyon; cityscape","hot; windy; arid; frigid; rocky"
382,"Galaxy Prism Astraeos",7429,5.14,0.843,1.83,"urban","temperate"
383,"Nebulion I",8611,1.86,1.204,1.16,"valley; savanna; desert","frozen; arid; artic; hot"
384,"Nebulion VIII",8611,3.11,1.321,1.33,"fungus forest; plain; cliff; island; mountain","frigid; tropical; windy; temperate"
385,"Nebulion X",8611,0.95,1.041,0.97,"mountain","windy; subartic"
386,"Nebulion XVIII",8611,7.9,1.041,1.96,"volcano; sea; toxic cloudsea; glacier; mountain","frigid; frozen; subartic; superheated"
387,"Arkab Prior Upsilon",8117,4.56,0.806,1.78,"vine; glacier; sea","frigid; frozen; hot; subartic; rocky"
388,"Arkab Prior Xi",8117,8.7,1.057,NA,"desert; canyons; sinkholes; valley","frigid; superheated; artic"
389,"Arkab Prior Mu",8117,2.99,0.75,1.59,"canyons","temperate; arid; artic; subartic; artificial temperate"
390,"Yugen Wu",4589,7.85,1.197,1.87,"volcano; barren; urban; sea","hot; temperate; arid; windy"
391,"Yugen Jiu",4589,2.41,0.882,1.4,"cave; sea; swamp; rock arche; fungus forest; cliff; valley; hill; ice cave","tropical; temperate; arid; humid; rocky; subartic; artificial temperate"
392,"Yugen Si",4589,3.49,0.549,1.85,"sinkholes; plateau; barren; volcano","frigid; windy; arid; superheated; rocky"
393,"Yugen Yi",4589,2.44,1.026,1.33,"lava river","hot"
394,"Misam Quartal",5168,4.35,0.381,2.25,"urban; plain","frigid"
395,"Misam Undecimal",5168,6.25,0.942,1.88,"lakes","subartic; windy; hot; temperate; arid; humid"
396,"Misam Duodecimal",5168,3.77,1.106,1.5,"mountain","rocky"
397,"Tonatiuh Shi",4518,1.93,1.059,1.22,"cave; mountain; field; glacier; savanna","tropical; windy; frozen; subartic; superheated"
398,"Yugure Radiance Nu",4730,0.46,1.458,0.68,"grassland; rock arche; urban; plateau; acid pool; grassy hill; swamp","rocky; frigid; humid; frozen; artic"
399,"Yugure Radiance Pi",4730,2.66,1.216,1.3,"mountain; jungle","rocky; windy; tropical"
400,"Cryptic Mirage XII",8158,1.11,1.019,1.03,"city; tundra; canyons; plain; lakes; rocky desert","subartic; windy; humid; temperate; frozen"
401,"Tesserara XII",6922,0.41,0.957,0.75,"plain; mountain; sinkholes; ocean; rainforest","artic; windy; superheated; hot"
402,"Botein Iota",2895,6.18,0.682,2.08,"plain; ice cave","frozen"
403,"Botein Epsilon",2895,3.04,0.892,1.5,"glacier","artificial temperate; artic; rocky"
404,"Sakura's Silence Persephonian",4295,1.63,0.908,1.22,"savanna; rocky canyon; rock arche","rocky; artificial temperate; windy; temperate; tropical"
405,"Zephyrianix Aphroditos",4256,6.23,1.652,1.56,"savanna","tropical; superheated; windy; arid"
406,"Zephyrianix Herculean",4256,2.15,1.094,1.25,"jungle; urban","windy; tropical"
407,"Zephyrianix Pegasusian",4256,2.2,0.846,1.38,"urban","superheated; artificial temperate; hot"
408,"Cosmosol I",8333,0.78,0.734,1.02,"lava river; cave; cityscape; urban; hill","tropical; windy; hot; artic; rocky; frigid; arid"
409,"Celestial Echo II",5690,7.95,0.561,2.42,"sinkholes; rock arche; glacier; reef","subartic; temperate; humid; tropical; rocky; artificial temperate; superheated"
410,"Celestial Echo X",5690,6.6,0.496,2.37,"tundra; river; reef; grassland; cliff; bog; cityscape","temperate; hot; artic; superheated; humid; arid; frigid"
411,"Lysian Nexus Upsilon",3506,6.48,0.751,2.05,"grassy hill; rock arche","artificial temperate; hot"
412,"Alpheratz Hadean",6567,1.31,1.121,NA,"jungle; tundra; rock arche; valley; plateau; city","tropical; rocky; frozen; temperate; artificial temperate; hot; windy"
413,"Alpheratz Herculean",6567,0.91,1.132,0.93,"island; volcano","frozen; artificial temperate; temperate; rocky; windy; arid"
414,"Stellarastrum XXII",4245,6.87,0.591,2.26,"bog","tropical"
415,"Stellarastrum X",9285,4.99,1.43,1.52,"toxic cloudsea; rocky canyon; ice cave; reef","temperate; artificial temperate; frozen"
416,"Stellarastrum XXI",9285,4.95,0.844,NA,"urban; rocky canyon; ice canyon","frigid; subartic; arid; windy"
417,"Stellarastrum XII",9285,0.72,0.771,0.98,"city; canyons","artificial temperate; superheated"
418,"Horus' Ascendance IX",5726,1.99,1.184,1.19,"river; glacier; hill; field; acid pool; swamp","humid; frozen; temperate; subartic"
419,"Horus' Ascendance XIV",5726,1.77,1.088,1.18,"barren; jungle; acid pool","superheated; arid; tropical; subartic; rocky; artic; temperate"
420,"Horus' Ascendance II",5726,0.44,1.113,NA,"urban; glacier","subartic"
421,"Miaplacidus Eta",8898,0.97,1.379,0.89,"lakes; reef; rock arche; sea; rocky desert","subartic; frigid; artic"
422,"Miaplacidus Tau",8898,7.73,0.89,NA,"grassy hill; rocky island; bog; lava river; scrubland; desert; sea","temperate; artificial temperate; frozen; arid; rocky; humid"
423,"Orion's Gaze Decimal",506,3.95,0.904,1.64,"sea; island; rocky island; forest; cityscape","frozen; artic; windy; superheated; frigid; temperate; tropical"
424,"Infinity Iris Eta",4809,5.49,1.368,1.59,"grassland; rocky canyon; fungus forest","temperate; humid"
425,"Infinity Iris Kappa",4809,6.88,0.953,1.93,"rocky canyon; grassy hill; grassland; jungle","hot; rocky; temperate; superheated; artic"
426,"Infinity Iris Omega",4809,1.66,0.751,1.3,"fungus forest; plain; grassland; plateau","windy; subartic; humid; frozen; rocky; frigid"
427,"Infinity Iris Xi",4809,4.3,0.815,1.74,"grassland; rocky island; ocean; vine; lakes","frigid; subartic; humid; windy"
428,"Naledi Aetherios",9717,6.78,1.048,1.86,"plateau; rocky desert; savanna; urban; canyons; ice cave","artic; frozen; superheated; subartic"
429,"Naledi Gaios",9717,1.61,0.92,1.21,"rocky desert; rocky island; island; forest; mountain","artic; windy; artificial temperate; humid"
430,"Naledi Pantheon",9717,7.04,0.903,1.98,"rocky island; ice cave; urban; verdant; cave; reef","superheated; humid; frozen; arid; rocky; frigid"
431,"Regulus Pegasusian",9711,5.1,0.935,1.76,"canyons; lava river; ice canyon","superheated; subartic; artic; temperate; frozen"
432,"Regulus Museios",9711,1.21,0.803,1.15,"hill","artificial temperate; windy; arid"
433,"Regulus Irisian",9711,8.27,0.533,2.49,"ice canyon","frigid; artic; tropical"
434,"Kamikaze Ascendance Artemian",3586,0.74,1.333,0.82,"forest; grassland; ice canyon","artificial temperate; windy; temperate; artic"
435,"Kamikaze Ascendance Poseidian",3586,NA,1.562,1.07,"river; city","hot; superheated; tropical; rocky"
436,"Torcular VIII",4204,1.09,1.401,0.92,"mountain","superheated"
437,"Torcular III",4204,7.21,0.801,2.08,"barren","arid; rocky"
438,"Aniara Museios",4444,3.65,1.036,1.52,"rocky canyon; urban; cave; mountain; city; jungle; plain; grassy hill; lakes","temperate; artificial temperate; arid; rocky; frozen; humid; frigid"
439,"Pulsar Radiance Artemian",9487,1.91,0.643,1.44,"rocky desert; hill","arid; tropical; temperate"
440,"Pulsar Radiance Museios",9487,NA,0.727,1.83,"island; plateau; hill; cityscape","arid; artic; temperate"
441,"Pulsar Radiance Herculean",9487,1.34,0.485,1.4,"island; mountain; reef","rocky; temperate"
442,"Setsuna Demetrian",276,6.43,0.746,2.05,"lava river; urban; jungle; field; savanna","arid; tropical; superheated; temperate; rocky"
443,"Baten Kaitos Pegasusian",8528,1.82,0.872,1.28,"rocky desert; cliff; acid pool; field; forest; ice cave; mountain","artificial temperate; arid; frozen; frigid; artic; humid"
444,"Baten Kaitos Astraeos",8528,2.72,0.739,1.54,"forest; lava river; field","frozen; temperate; hot"
445,"Solaris Cascade Eosian",2212,NA,0.632,1.26,"cave","windy; frozen; frigid"
446,"Dombay II",7676,4.68,0.852,NA,"verdant; desert","tropical; subartic; arid"
447,"Dombay XXIII",7676,0.68,0.755,0.97,"fungus forest; acid pool; city; valley; jungle","rocky; superheated; artificial temperate; hot"
448,"Dombay III",7676,4.47,1.016,1.64,"jungle; vine; rainforest","artificial temperate; humid; windy"
449,"Dombay XXII",7676,7.78,0.891,2.06,"toxic cloudsea; mountain; verdant","tropical; frozen"
450,"Dziban Jiu",3522,6.28,1.288,1.7,"rocky desert; grassy hill","artic; frozen; subartic; humid; temperate"
451,"Dziban Ba",3522,5.17,0.72,1.93,"valley","superheated; subartic; arid; artificial temperate; humid"
452,"Malmok Demetrian",5002,3.89,0.787,1.7,"forest; fungus forest; tundra","rocky; hot; arid; subartic; artic; superheated"
453,"Malmok Persephonian",5002,1.4,1.056,1.1,"city; savanna; cliff","frigid; tropical; rocky; temperate"
454,"Nebulium Ba",2737,5.34,1.041,1.72,"urban; rainforest","artificial temperate; rocky; subartic; frigid; superheated"
455,"Nebulium Wu",2737,2.12,0.936,1.31,"verdant","arid; rocky"
456,"Nebulium Shi",2737,3.6,1.141,1.47,"canyons; island; ocean; verdant; plateau","tropical; rocky; superheated; temperate"
457,"Nebulium Liu",2737,3.57,1.022,1.52,"tundra; forest; rainforest; jungle; cave; ice cave","tropical; frozen; arid; artic"
458,"Inari's Cascade Psychean",9768,1.98,0.674,NA,"barren; desert; rocky canyon; savanna; valley; plain","rocky; superheated; arid; frozen"
459,"Oborozuki Quintal",4292,5.9,1.26,1.67,"reef; ocean; cave; forest; ice canyon; fungus forest","rocky; frigid; tropical; arid; artic; subartic; windy"
460,"Oborozuki Duodecimal",4292,4.56,1.046,1.63,"valley; rainforest; fungus forest","artificial temperate; temperate; frozen; humid; windy; rocky"
461,"Rukbat Quintal",177,2.92,1.229,1.33,"reef","arid; temperate; hot; windy; humid"
462,"Rukbat Octal",177,1.11,0.972,1.05,"ocean; city; lakes","arid; temperate; artificial temperate; artic"
463,"Rukbat Undecimal",177,7.36,0.953,1.98,"plateau; valley","artic; humid; windy; frozen; rocky"
464,"Sakuya Nebula Lambda",1966,5.7,1.013,1.78,"hill; verdant; island; jungle; plain; desert; scrubland; reef; cave","hot; humid; arid; artificial temperate; frigid; artic"
465,"Aetherial Mirage Chi",7497,2,1.298,1.15,"barren; city; swamp","hot; frozen; arid; tropical"
466,"Aetherial Mirage Alpha",7497,2.78,1.126,1.35,"ice canyon; hill; bog; plain; acid pool; lava river","tropical; frozen; rocky; arid"
467,"Aetherial Mirage Gamma",7497,0.56,0.852,0.87,"fungus forest; rocky canyon","subartic; hot; artificial temperate"
468,"Celestara Tau",6092,5.1,0.518,2.14,"lakes; ice canyon; barren","arid; subartic"
469,"Alcyone VI",2173,3.66,1.236,1.44,"ice canyon; plain; tundra; cliff; cave; lakes; grassland; plateau","arid; temperate; frozen; frigid; rocky; subartic; hot"
470,"Skat Hadean",3056,1.73,1.178,1.14,"sea","rocky; frigid; arid"
471,"Skat Aetherios",3056,6.66,0.968,1.9,"grassland","tropical; temperate; frozen"
